Lines,DTS,DTA,PH,EH,EN,BW,BL,SL,SPAD1,SPAD1_Date,SPAD2,SPAD2_Date,ST,StPu,StPi,Kinki,Prolif,NBR
B73,7/2/23,6/30/23,187,73,2,,,,,,21.5,8/5/23,N,N,N,0,1,
B73,7/1/23,6/29/23,205,73,2,,,,,,46.9,8/3/23,N,N,N,0,1,
B73,7/7/23,7/5/23,170,44,2,,,,,,46.3,8/9/23,N,N,N,1,1,
B73,7/4/23,7/2/23,168,50,2,,,,,,22.7,8/7/23,N,N,N,1,1,
B73,7/7/23,7/4/23,190,60,2,,,,,,32.6,8/9/23,N,N,N,1,1,
B73,7/1/23,7/1/23,200,67,2,,,,,,54.7,8/3/23,N,N,N,0,1,
B73,7/2/23,7/1/23,177,45,2,,,,,,37.2,8/5/23,N,N,N,1,1,
B73,7/1/23,6/29/23,198,66,2,,,,,,44.8,8/3/23,N,N,N,0,1,
B73,6/29/23,6/29/23,205,81,2,,,,,,41.7,8/2/23,N,N,N,0,1,
B73,7/2/23,6/26/23,193,67,1,,,,,,25.4,8/5/23,N,N,N,0,1,
B73,7/3/23,7/1/23,185,60,2,,,,,,49.5,8/5/23,N,N,N,0,1,
B73,6/30/23,7/1/23,157,42,2,,,,,,44.3,8/3/23,N,N,N,1,1,
B73,6/30/23,6/30/23,200,54,3,,,,,,41.9,8/3/23,N,N,N,1,1,
B73,7/2/23,7/2/23,203,66,2,,,,,,,,N,N,N,1,1,
B73,7/1/23,6/29/23,240,67,2,,,,,,41.7,8/3/23,N,N,N,0,1,
B73,7/4/23,7/2/23,205,62,2,,,,,,39.6,8/7/23,N,N,N,0,1,
B73,7/4/23,7/2/23,198,69,2,,,,,,48.1,8/7/23,N,N,N,1,1,
B73,7/7/23,7/6/23,192,40,1,,,,,,15.6,8/9/23,N,N,N,1,1,
B73,7/3/23,6/29/23,187,55,2,,,,,,40.8,8/5/23,N,N,N,0,1,
B73,7/4/23,7/1/23,201,60,2,,,,,,36.6,8/7/23,N,N,N,1,1,
B73,7/2/23,6/29/23,195,63,2,,,,,,45.3,8/5/23,N,N,N,0,1,
B73,7/1/23,6/27/23,215,98,3,,,,,,37.4,8/3/23,N,N,N,1,1,
B73,7/2/23,6/30/23,180,61,2,,,,,,30.9,8/5/23,N,N,N,1,1,
B73,7/5/23,7/4/23,171,46,2,,,,,,32.7,8/9/23,N,N,N,1,1,
B73,7/3/23,7/1/23,189,75,2,,,,,,33.2,8/5/23,N,N,N,0,1,
B73,7/5/23,7/5/23,174,47,2,,,,,,26.8,8/9/23,N,N,N,1,1,
B73,7/4/23,7/1/23,173,52,2,,,,,,25.1,8/7/23,N,N,N,1,1,
B73,7/2/23,7/1/23,191,60,2,,,,,,44.1,8/5/23,N,N,N,1,1,
B73,7/3/23,7/1/23,183,67,2,,,,,,48,8/5/23,N,N,N,1,1,
B73,7/6/23,7/2/23,175,50,2,,,,,,42,8/9/23,N,N,N,1,1,
B73,7/4/23,7/1/23,195,74,2,,,,,,29.4,8/7/23,N,N,N,1,1,
B73,7/2/23,6/29/23,198,66,2,,,,,,38.3,8/5/23,N,N,N,0,1,
B73,7/1/23,6/29/23,183,61,2,,,,,,35.5,8/3/23,N,N,N,1,1,
B73,6/30/23,6/29/23,208,68,4,,,,,,52.5,8/3/23,N,N,N,0,1,
B73,7/2/23,6/30/23,174,67,2,,,,,,22.9,8/5/23,N,N,N,0,1,
B73,7/2/23,6/30/23,180,50,2,,,,,,42.9,8/5/23,N,N,N,1,1,
B73,7/1/23,6/28/23,182,52,2,,,,,,45.7,8/3/23,N,N,N,0,1,
B73,7/3/23,7/1/23,191,59,2,,,,,,30.5,8/5/23,N,N,N,0,1,
B73,7/2/23,7/1/23,185,65,2,,,,,,31.9,8/5/23,N,N,N,1,1,
B73,7/4/23,7/1/23,195,74,4,,,,,,7.3,8/7/23,N,N,N,0,1,
B73,7/1/23,6/29/23,173,50,2,,,,,,51.4,8/3/23,N,N,N,1,1,
B73,7/1/23,6/29/23,195,67,2,,,,,,47.8,8/3/23,N,N,N,0,1,
B73,7/1/23,7/1/23,193,76,2,,,,,,44.6,8/3/23,N,N,N,1,1,
B73,7/3/23,7/1/23,181,62,2,,,,,,35.4,8/5/23,N,N,N,0,1,
B73,7/1/23,6/29/23,187,73,1,,,,,,24.2,8/3/23,N,N,N,0,1,
B73,7/2/23,6/29/23,177,57,2,,,,,,33.1,8/5/23,N,N,N,0,1,
B73,7/2/23,6/30/23,155,63,2,,,,,,,,N,N,N,0,1,
B73,7/1/23,7/1/23,187,74,2,,,,,,25.9,8/3/23,N,N,N,1,1,
B73,7/2/23,7/1/23,176,58,2,,,,,,37.1,8/5/23,N,N,N,0,1,
B73,7/2/23,6/29/23,176,58,2,,,,,,15.5,8/5/23,N,N,N,0,1,
B73,7/2/23,7/1/23,176,65,2,,,,,,26.6,8/5/23,N,N,N,0,1,
B73,7/3/23,7/1/23,182,60,2,7.5,62.5,13,56.2,7/19/23,50.8,8/5/23,N,N,N,0,1,1
B73,7/1/23,6/30/23,185,64,2,7.1,50.1,13.5,60.4,7/19/23,53.6,8/3/23,N,N,N,0,1,1
B73,7/1/23,6/30/23,174,52,2,7.9,59.1,13.9,54.7,7/19/23,35.1,8/3/23,N,N,N,1,1,1
B73,7/1/23,6/28/23,178,64,2,6.6,50.6,13.4,53.7,7/19/23,36.4,8/3/23,N,N,N,0,1,1
B73,7/1/23,6/29/23,192,62,2,7.8,64.2,13.6,60.8,7/19/23,47.9,8/3/23,N,N,N,,,1
B73,7/4/23,7/3/23,186,63,2,8.2,62.2,14,54.4,7/19/23,20.8,8/7/23,N,N,N,,,2
B73,7/2/23,6/30/23,187,64,3,9.7,72,12,63.1,7/19/23,15.4,8/5/23,N,N,N,,,2
